CollegeName,State Name
" A. D. Patel Institute Of Technology, Karamsad ",Gujarat
" Atmiya Institute of Technology & Science (SFI)-WITH ENGG,Rajkot. ",Gujarat
" B.H.GARDI COLLEGE OF ENGG. & TECHNOLOGY , RAJKOT",Gujarat
" BABARIA INSTITUTE OF TECHNOLOGY,VARNAMA,VADODARA ",Gujarat
" Gandhinagar Institute of Technology(SFI),BHOYAN-Khatraj Kalol Road ",Gujarat
" GOVERNMENT ENGINEERING COLLEGE, SECTOR 28 GANDHINAGAR ",Gujarat
" GOVERNMENT ENGINEERING COLLEGE, BHARUCH ",Gujarat
" GOVERNMENT ENGINEERING COLLEGE, BHUJ ",Gujarat
" GOVERNMENT ENGINEERING COLLEGE, MODASA ",Gujarat
" VISHWAKARMA GOVERNMENT ENGINEERING COLLEGE, CHANDKHEDA,GANDHINAGAR ",Gujarat
" GOVERNMENT ENGINEERING COLLEGE, DAHOD ",Gujarat
" GOVERNMENT ENGINEERING COLLEGE, VALSAD ",Gujarat
" GOVERNMENT ENGINEERING COLLEGE, RAJKOT",Gujarat
" GOVERNMENT ENGINEERING COLLEGE, BHAVNAGAR",Gujarat
" GOVERNMENT ENGINEERING COLLEGE, PATAN ",Gujarat
" GOVERNMENT ENGINEERING COLLEGE, SURAT ",Gujarat
" L.D.COLLEGE OF ENGINEERING, AHMEDABAD ",Gujarat
L.J.Institue of Engineering and technology (SFI)-Ahmedabad ,Gujarat
" MAHATMA GANDHI INST.OF TECHNICAL EDU. AND RESEARCH CENTER,NAVASARI ",Gujarat
" NOBLE ENGINEERING COLLEGE, JUNAGADH ",Gujarat
" SHANTILAL SHAH ENGINEERING COLLEGE ,BHAVNAGAR",Gujarat
" V.V.P. ENGINEERING COLLEGE, RAJKOT ",Gujarat
" VALIA INSTITUTE OF TECHNOLOGY, BHARUCH",Gujarat
" GOVERNMENT ENGINEERING COLLEGE, GODHARA ",Gujarat
" GOVERNMENT ENGINEERING COLLEGE, PALANPUR ",Gujarat
" GUJARAT INSTITUTE OF TECHNICAL STUDIES, MOYAD, PRANTIJ ",Gujarat
" Dr. Jivraj Mehta Institute of Technology, Anand ",Gujarat
" HJD INSTITUTE OF TECHNICAL EDUCATION AND RESERCH, Kera ",Gujarat
" Laxmi Institute of Technology, Valsad ",Gujarat
" SAMARTH COLLEGE OF ENGINEERING & TECHNOLOGY, Himatnagar",Gujarat
" Shri Labhubhai Trivedi Institute of Engineering And Technology, Rajkot ",Gujarat
" ARRDKETA INSTITUTE OF TECHNOLOGY RASHIWAD, SABARKANTHA (I",Gujarat
" INSTITUTE OF TECHNOLOGY AND MANAGEMENT UNIVERSE VAGHODIA, VADODARA (I",Gujarat
" HANSABA COLLEGE OF ENGINEERING & TECHNOLOGY, SIDDHPUR (I",Gujarat
" SHROFF S R ROTARY INSTITUTE OF CHEMICAL TECHNOLOGY VATARIA, BHARUCH (I",Gujarat
" LEADS INSTITUTE OF TECHNOLOGY & ENGINEERING MATAR, BHARUCH (I",Gujarat
"007-SSBT'S COLLEGE OF ENGINEERING & TECHNOLOGY, BAMBHORI. (",Maharashtra
"054-GOVERNMENT COLLEGE OF ENGINEERING, JALGAON. (",Maharashtra
"061-SE&CM'S SHRI GULABRAO DEOKAR COLLEGE OF ENGINEERING, JALGAON. (",Maharashtra
"063-GF'S GODAVARI COLLEGE OF ENGINEERING, JALGAON (",Maharashtra
"084-KCES'S COLLEGE OF ENGINEERING & INFORMATION TECHNOLOGY, JALGAON (",Maharashtra
"100-G.H. RAISONI INSTITUTE OF ENGINEERING & MANAGEMENT, JALGAON. (",Maharashtra
"101-GHREFS'S G.H. RAISONI INSTITUTE OF INFORMATION TECHNOLOGY, JALGAON. (",Maharashtra
" IPCOWALA INSTITUTE OF ENGINEERING & TECHNOLOGY DHARMAJ, ANAND (I",Gujarat
" OM ENGINEERING COLLEGE CHOKLI, JUNAGADH (I",Gujarat
" OM INSTITUTE OF TECHNOLOGY VANTAVACHHODA, PANCHAMAHAL (I",Gujarat
" SHRI J M SABVA INSTITUTE OF ENGINEERING & TECHNOLOGY, BOTAD (I",Gujarat
